External.ID,Referencia,Monto.en.petro
__export__.sinco_project_46780,CCO-21-18-04-00020,54.4859668475
__export__.sinco_project_46781,CCO-21-05-01-00012,147.11
__export__.sinco_project_46783,CCO-21-09-12-00003,268.337076919
__export__.sinco_project_46785,COM-21-21-14-00002,115.79868416
__export__.sinco_project_46787,CCO-21-08-06-00141,286.2
__export__.sinco_project_46805,CCO-21-22-01-00001,84.5802513284
__export__.sinco_project_46811,COM-21-12-04-00001,147.11
__export__.sinco_project_46815,CCO-21-22-01-00002,137.31
__export__.sinco_project_46819,CCO-21-12-18-00001,207.621491282
__export__.sinco_project_46820,CCO-21-10-03-00007,156.206843957
__export__.sinco_project_46821,CCO-21-12-04-00003,147.11
__export__.sinco_project_46823,COM-21-11-09-00001,177.44
__export__.sinco_project_46824,CCO-21-22-01-00003,147.11
__export__.sinco_project_46826,CCO-21-10-01-00033,101.73992387
__export__.sinco_project_46828,CCO-21-10-01-00034,86.0113623614
__export__.sinco_project_46829,CCO-21-18-05-00011,113.27
__export__.sinco_project_46832,CCO-21-12-12-00008,137.31
__export__.sinco_project_46833,CCO-21-22-01-00004,147.11
__export__.sinco_project_46835,CCO-21-05-01-00013,147.11
__export__.sinco_project_46837,CCO-21-19-04-00001,174.135811559
__export__.sinco_project_46839,CCO-21-06-03-00001,147.11
__export__.sinco_project_46841,CCO-21-06-02-00001,147.11
__export__.sinco_project_46843,CCO-21-05-01-00014,147.11
__export__.sinco_project_46845,CCO-21-12-12-00009,147.11
__export__.sinco_project_46847,CCO-21-22-01-00005,147.11
__export__.sinco_project_46848,CCO-21-05-01-00016,147.11
__export__.sinco_project_46850,CCO-21-12-12-00010,147.11
__export__.sinco_project_46851,CCO-21-12-12-00011,147.11
__export__.sinco_project_46859,CCO-21-04-02-00001,136.98
__export__.sinco_project_46860,CCO-21-18-04-00023,212.816166792
__export__.sinco_project_46863,CCO-21-10-03-00008,68.4420058957
__export__.sinco_project_46864,CCO-21-12-12-00014,142.33
__export__.sinco_project_46868,CCO-21-10-13-00001,102.802537646
__export__.sinco_project_46874,CCO-21-05-01-00018,147.11
__export__.sinco_project_46877,CCO-21-10-01-00035,147.11
__export__.sinco_project_46880,CCO-21-08-06-00151,327.82
__export__.sinco_project_46881,CCO-21-08-06-00152,357.47
__export__.sinco_project_46884,COM-21-13-09-00002,127.882025116
__export__.sinco_project_46885,CCO-21-16-05-00001,147.11
__export__.sinco_project_46886,CCO-21-14-06-00006,147.11
__export__.sinco_project_46891,CCO-21-18-13-00003,122.19
__export__.sinco_project_46893,CCO-21-13-09-00006,120.833409558
__export__.sinco_project_46895,CCO-21-18-05-00012,138.8
__export__.sinco_project_46897,CCO-21-13-09-00007,185.781367196
__export__.sinco_project_46898,CCO-21-10-05-00059,113.28
__export__.sinco_project_46902,CCO-21-12-12-00016,137.31
__export__.sinco_project_46906,CCO-21-02-15-00001,142.956587939
__export__.sinco_project_46910,CCO-21-18-05-00013,362.157586373
__export__.sinco_project_46913,CCO-21-12-12-00017,147.11
__export__.sinco_project_46917,CCO-21-10-01-00036,143.31
__export__.sinco_project_46920,CCO-21-04-07-00001,142.33
__export__.sinco_project_46929,CCO-21-22-01-00007,142.33
__export__.sinco_project_46931,CCO-21-17-11-00001,147.11
__export__.sinco_project_46937,CCO-21-13-06-00001,147.01
__export__.sinco_project_46938,CCO-21-19-04-00003,176.22
__export__.sinco_project_46940,CCO-21-17-08-00006,147.11
__export__.sinco_project_46944,CCO-21-14-06-00007,142.33
__export__.sinco_project_46952,CCO-21-05-01-00019,147.11
__export__.sinco_project_46954,CCO-21-13-05-00001,130.045210122
__export__.sinco_project_46956,CCO-21-10-08-00015,142.33
__export__.sinco_project_46966,CCO-21-10-05-00060,307.044451288
__export__.sinco_project_46968,CCO-21-18-05-00014,148.75
__export__.sinco_project_46974,CCO-21-05-01-00022,147.11
__export__.sinco_project_46978,CCO-21-22-01-00009,142.33
__export__.sinco_project_46979,CCO-21-19-07-00020,185.04
__export__.sinco_project_46986,CCO-21-13-09-00008,129.53
__export__.sinco_project_46989,COM-21-05-01-00004,147.11
__export__.sinco_project_46990,CCO-21-10-05-00061,147.11
__export__.sinco_project_46998,CCO-21-10-05-00062,63.2542964283
__export__.sinco_project_47006,CCO-21-13-15-00004,173.56
__export__.sinco_project_47011,CCO-21-21-16-00001,147.11
__export__.sinco_project_47012,CCO-21-10-01-00038,102.78532588
__export__.sinco_project_47015,CCO-21-21-07-00004,44.41
__export__.sinco_project_47018,CCO-21-21-07-00005,44.5007099324
__export__.sinco_project_47020,CCO-21-07-09-00006,209.032649889
__export__.sinco_project_47031,CCO-21-13-09-00011,119.056952759
__export__.sinco_project_47034,CCO-21-21-07-00006,44.5007099324
__export__.sinco_project_47038,CCO-21-22-01-00014,142.33
__export__.sinco_project_47039,CCO-21-21-07-00007,44.5007099324
__export__.sinco_project_47041,CCO-21-21-07-00008,44.5
__export__.sinco_project_47042,COM-21-05-01-00005,147.11
__export__.sinco_project_47043,CCO-21-21-07-00009,44.5
__export__.sinco_project_47047,CCO-21-21-07-00011,44.5007099324
__export__.sinco_project_47048,CCO-21-13-09-00013,131.07
__export__.sinco_project_47054,CCO-21-21-08-00002,147.11
__export__.sinco_project_47056,CCO-21-02-09-00007,277.890321933
__export__.sinco_project_47060,CCO-21-21-08-00003,142.33
__export__.sinco_project_47061,CCO-21-16-05-00002,147.11
__export__.sinco_project_47062,CCO-21-10-01-00041,77.98
__export__.sinco_project_47063,CCO-21-01-01-00008,150.984122731
__export__.sinco_project_47064,CCO-21-10-08-00017,51.3310514569
__export__.sinco_project_47069,CCO-21-04-07-00002,147.11
__export__.sinco_project_47076,CCO-21-12-02-00002,147.11
__export__.sinco_project_47077,CCO-21-09-18-00002,96.35
__export__.sinco_project_47079,CCO-21-12-02-00004,147.11
__export__.sinco_project_47087,CCO-21-02-07-00001,33.2518333937
__export__.sinco_project_47088,CCO-21-09-10-00002,247.229065966
__export__.sinco_project_47089,CCO-21-19-19-00001,244.02
__export__.sinco_project_47093,CCO-21-10-01-00043,68.1571323914
__export__.sinco_project_47100,CCO-21-21-07-00013,52.35
__export__.sinco_project_47102,CCO-21-21-07-00014,42.41
__export__.sinco_project_47105,CCO-21-22-01-00019,142.33
__export__.sinco_project_47106,CCO-21-10-01-00045,147.11
__export__.sinco_project_47112,CCO-21-16-03-00001,147.11
__export__.sinco_project_47113,CCO-21-12-08-00008,89.5812357279
__export__.sinco_project_47117,CCO-21-09-10-00003,122.58
__export__.sinco_project_47121,CCO-21-16-04-00001,147.11
__export__.sinco_project_47126,CCO-21-22-01-00020,142.33
__export__.sinco_project_47132,CCO-21-12-19-00001,105.06812255
__export__.sinco_project_47134,CCO-21-15-02-00002,117.62
__export__.sinco_project_47138,CCO-21-07-04-00001,218.81
__export__.sinco_project_47139,CCO-21-10-13-00002,131.87
__export__.sinco_project_47142,CCO-21-10-09-00004,78.6459179562
__export__.sinco_project_47147,CCO-21-10-01-00047,86.89
__export__.sinco_project_47148,CCO-21-21-07-00022,41.69
__export__.sinco_project_47149,CCO-21-14-06-00009,142.33
__export__.sinco_project_47152,CCO-21-21-07-00023,41.69
__export__.sinco_project_47153,CCO-21-13-09-00016,123.506809748
__export__.sinco_project_47163,CCO-21-18-28-00001,42.7313554898
__export__.sinco_project_47170,CCO-21-13-05-00003,179.08
__export__.sinco_project_47172,CCO-21-12-02-00007,159.99
__export__.sinco_project_47174,CCO-21-21-11-00001,158.865683854
__export__.sinco_project_47176,CCO-21-16-04-00002,147.11
__export__.sinco_project_47178,CCO-21-11-02-00002,142.33
__export__.sinco_project_47186,CCO-21-10-08-00019,91.5
__export__.sinco_project_47189,CCO-21-16-03-00002,147.11
__export__.sinco_project_47191,CCO-21-12-15-00001,113.95
__export__.sinco_project_47193,CCO-21-11-06-00001,71.16
__export__.sinco_project_47198,CCO-21-13-09-00018,136.32
__export__.sinco_project_47215,CCO-21-10-03-00009,71.11
__export__.sinco_project_47217,CCO-21-05-07-00002,142.33
__export__.sinco_project_47223,CCO-21-02-07-00009,46.42
__export__.sinco_project_47228,CCO-21-09-13-00002,97.23
__export__.sinco_project_47235,CCO-21-18-06-00001,131.85
__export__.sinco_project_47241,CCO-21-16-05-00003,142.33
__export__.sinco_project_47243,CCO-21-18-06-00002,135.57
__export__.sinco_project_47247,CCO-21-18-06-00003,134.15
