code;project_ids.display_name;periodo_fiscal;investment_sector_id.name;category_id.name;lat;long
CCO-21-08-06-00141;"Rehabilitación completa del tanque de agua aéreo y su estructura de soporte, ubicado en el sector El Malabar; parroquia Manuel Manrique";21;SERVICIOS PÚBLICOS;MANEJO INTEGRAL DEL AGUA;9,81165363187433;-68,5196392480976
CCO-21-21-07-00014;REHABILITACION DEL SISTEMA ELECTRICO, 1 FASE.;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;11,0794084420938;-71,8587610168425
COM-21-21-21-00001;PROYECTO DE REHABILITACION DE LA INFRAESTRUCTURA  DE  LA U.E.E.R. ALICIA DE MARCANO;21;SERVICIOS PÚBLICOS;EDUCACIÓN;10,3004782244082;-71,3699184175333
CCO-21-08-06-00010;MEJORAS Y SUSTITUCION DEL COLECTOR DE AGUAS SERVIDAS DEL SECTOR CHE GUEVARA PRIMERA ETAPA;21;SERVICIOS PÚBLICOS;MANEJO INTEGRAL DEL AGUA;9,67805258455728;-68,5843215460534
CCO-21-18-04-00007;Construcción del pavimento rígido en el Sector la Orquídea Girasol Cumbre;21;SERVICIOS PÚBLICOS;VIALIDAD;7,81610056370253;-72,1679880362122
CCO-21-08-09-00034;REHABILITACIÓN DE SISTEMA DE BOMBEO DE AGUA POTABLE EN LA COMUNIDAD DEL TAPARO, MUNICIPIO ROMULO GALLEGOS. ESTADO COJEDES;21;SERVICIOS PÚBLICOS;MANEJO INTEGRAL DEL AGUA;9,43419907598167;-68,5457041434481
CCO-21-08-01-00033;REHABILITACION Y MEJORAS DE ELECTRIFICACION EN ALTA Y BAJA TENSION DE LA COMUNIDAD AGRICOLA LA DONCELLA, PARROQUIA COJEDES, MUNICIPIO ANZOATEGUI, ESTADO COJEDES;21;SERVICIOS PÚBLICOS;ELECTRICIDAD;9,43682935082987;-68,8110661165845
CCO-21-08-06-00099;REHABILITACION Y MEJORAS DE LA VIALIDAD E EL SECTOR BRISAS DE PAN DE TRIGO DEL MUNICIPIO EZEQUIEL ZAMORA;21;SERVICIOS PÚBLICOS;VIALIDAD;9,69212789391368;-68,5570480842206
CCO-21-08-02-00018;PLAN CONUCO 2021 PRODUCCIÓN AGRÍCOLA DEL CONSEJO COMUNAL ESTANCIA TAGUANES 1 MUNICIPIO TINAQUILLO ESTADO COJEDES;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;9,93168502371121;-68,2753766595922
CCO-21-12-12-00001;Siembra de auyama ,maíz, plátano, yuca, arroz, tomate, en el sector los Andes de la parroquia Eloy Paredes municipio Obispo Ramos de Lora Estado Merida ;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;8,75731560436915;-71,5768784038681
CCO-21-14-06-00004;PRODUCCION 30 HAS.RAICES;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;8,99597295386398;-62,6436911599425
COM-21-21-14-00001;SIEMBRA SOBERANA DE 30 HECTAREAS DE FRIJOL EN LA COMUNA SUEÑO DE MI COMANDATE SUPREMO ;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;10,4055995760755;-71,4536671064886
CCO-21-21-14-00001;SIEMBRA DE YUCA SECTOR MIRAMAR ;21;SOCIOPRODUCTIVOS;SISTEMA DE PRODUCCIÓN AGRÍCOLA;10,423724639633;-71,4279198109071
